INFO | 2024-04-20 16:48:43,006 | Starting the client...
ERROR | 2024-04-20 16:49:38,283 | video sys not initialised
ERROR | 2024-04-20 16:49:38,285 | video sys not initialised
ERROR | 2024-04-20 16:49:38,287 | video sys not initialised
INFO | 2024-04-20 20:25:04,272 | Validating environment...
INFO | 2024-04-20 20:25:04,279 | Environment validated. Starting the client...
INFO | 2024-04-20 20:25:04,280 | Starting the client...
INFO | 2024-04-20 20:25:22,333 | Validating environment...
INFO | 2024-04-20 20:25:22,342 | Environment validated. Starting the client...
INFO | 2024-04-20 20:25:22,342 | Starting the client...
INFO | 2024-04-20 20:25:34,875 | Validating environment...
INFO | 2024-04-20 20:25:34,893 | Environment validated. Starting the client...
INFO | 2024-04-20 20:25:34,893 | Starting the client...
ERROR | 2024-04-20 20:27:23,520 | video sys not initialised
ERROR | 2024-04-20 20:27:23,521 | video sys not initialised
ERROR | 2024-04-20 20:27:23,521 | video sys not initialised
INFO | 2024-04-20 20:27:33,745 | Validating environment...
INFO | 2024-04-20 20:27:33,749 | Environment validated. Starting the client...
INFO | 2024-04-20 20:27:33,749 | Starting the client...
INFO | 2024-04-20 20:27:43,517 | Validating environment...
INFO | 2024-04-20 20:27:43,525 | Environment validated. Starting the client...
INFO | 2024-04-20 20:27:43,526 | Starting the client...
INFO | 2024-04-20 20:27:52,847 | Validating environment...
INFO | 2024-04-20 20:27:52,876 | Environment validated. Starting the client...
INFO | 2024-04-20 20:27:52,877 | Starting the client...
ERROR | 2024-04-20 20:29:30,593 | video sys not initialised
ERROR | 2024-04-20 20:29:30,594 | video sys not initialised
ERROR | 2024-04-20 20:29:30,595 | video sys not initialised
INFO | 2024-04-20 20:32:41,648 | Validating environment...
INFO | 2024-04-20 20:32:41,652 | Environment validated. Starting the client...
INFO | 2024-04-20 20:32:41,652 | Starting the client...
INFO | 2024-04-20 20:32:50,668 | Validating environment...
INFO | 2024-04-20 20:32:50,676 | Environment validated. Starting the client...
INFO | 2024-04-20 20:32:50,676 | Starting the client...
INFO | 2024-04-20 20:33:03,639 | Validating environment...
INFO | 2024-04-20 20:33:03,671 | Environment validated. Starting the client...
INFO | 2024-04-20 20:33:03,671 | Starting the client...
